status_id,status_message,link_name,status_type,"status,_link",status_published,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
7331091005_10154110000000000,"""James Harden will likely be the No. 1 pick of the NBA Draft, but who should it be? (sources say)""","""James Harden update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000000,"June 01, 2016 08:00",6290,35460,12383,36057,18724,38161,26115,23325
7331091005_10154110000000001,"""Russell Westbrook opts out of his contract, testing free agency this summer. (via Twitter)""","""Russell Westbrook update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000001,"June 01, 2016 08:04",4549,11739,47704,22416,28678,48540,10080,13812
7331091005_10154110000000002,"""Derrick Rose is drawing interest from multiple teams, according to reports. (via Twitter)""","""Derrick Rose update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000002,"June 01, 2016 08:08",39891,17114,2427,41835,33375,35418,3704,28024
7331091005_10154110000000003,"""Derrick Rose just dropped a triple-double, and the crowd went crazy. (via ESPN)""","""Derrick Rose update, breaking news""",Timeline Photos,https://www.facebook.com/bleacherreport/posts/10154110000000003,"June 01, 2016 08:27",18665,44203,28120,47379,22220,2575,26783,22374
7331091005_10154110000000004,"""Chris Paul addresses rumors in a candid interview. (sources say)""","""Chris Paul update, breaking news""",Timeline Photos,https://www.facebook.com/bleacherreport/posts/10154110000000004,"June 01, 2016 08:24",12507,18760,39632,10569,23825,47801,3810,24196
7331091005_10154110000000005,"""LeBron James opts out of his contract, testing free agency this summer. (via Twitter)""","""LeBron James update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000005,2016-06-01 09:15:00,14045,11200,13218,24097,35662,49197,49249,10974
7331091005_10154110000000006,"""LeBron James was traded last night, and fans are still reacting. (via ESPN)""","""LeBron James update, breaking news""",link,https://www.facebook.com/bleacherreport/posts/10154110000000006,2016-06-01 09:12:00,16318,7679,8283,12187,40739,1828,11812,38821
7331091005_10154110000000007,"""Stephen Curry will likely be the No. 1 pick of the NBA Draft, but who should it be? (reportedly)""","""Stephen Curry update, breaking news""",video,https://www.facebook.com/bleacherreport/posts/10154110000000007,"June 01, 2016 09:31",40987,30639,49986,48820,13539,36393,32509,31620
7331091005_10154110000000008,"""Kevin Durant was traded last night, and fans are still reacting. (via Twitter)""","""Kevin Durant update, breaking news""",native_video,https://www.facebook.com/bleacherreport/posts/10154110000000008,"June 01, 2016 09:04",30462,34457,31539,1784,13823,17802,34111,4113
7331091005_10154110000000009,"""LeBron James just dropped a triple-double, and the crowd went crazy. (reportedly)""","""LeBron James update, breaking news""",Timeline Photos,https://www.facebook.com/bleacherreport/posts/10154110000000009,2016-06-01 09:12:00,39377,26005,8732,33520,2795,19614,21442,10044
