Name,Location,Rank,Tuition and fees,In-state,Undergrad Enrollment
Princeton University,"Princeton, NJ",1,"$45,320 ",,"5,402"
Harvard University,"Cambridge, MA",2,"$47,074 ",,"6,699"
University of Chicago,"Chicago, IL",3,"$52,491 ",,"5,844"
Yale University,"New Haven, CT",3,"$49,480 ",,"5,532"
Columbia University,"New York, NY",5,"$55,056 ",,"6,102"
Stanford University,"Stanford, CA",5,"$47,940 ",,"6,999"
Massachusetts Institute of Technology,"Cambridge, MA",7,"$48,452 ",,"4,527"
Duke University,"Durham, NC",8,"$51,265 ",,"6,639"
University of Pennsylvania,"Philadelphia, PA",8,"$51,464 ",,"9,726"
Johns Hopkins University,"Baltimore, MD",10,"$50,410 ",,"6,524"
Dartmouth College,"Hanover, NH",11,"$51,438 ",,"4,307"
California Institute of Technology,"Pasadena, CA",12,"$47,577 ",,"1,001"
Northwestern University,"Evanston, IL",12,"$50,855 ",,"8,314"
Brown University,"Providence, RI",14,"$51,367 ",,"6,652"
Cornell University,"Ithaca, NY",15,"$50,953 ",,"14,315"
Rice University,"Houston, TX",15,"$43,918 ",,"3,910"
University of Notre Dame,"Notre Dame, IN",15,"$49,685 ",,"8,462"
Vanderbilt University,"Nashville, TN",15,"$45,610 ",,"6,883"
Washington University in St. Louis,"St. Louis, MO",19,"$49,770 ",,"7,504"
Emory University,"Atlanta, GA",20,"$47,954 ",,"6,867"
Georgetown University,"Washington, DC",20,"$50,547 ",,"7,562"
University of California--Berkeley,"Berkeley, CA",20,"$40,191 ","$13,509 ","27,496"
University of Southern California,"Los Angeles, CA",23,"$52,217 ",,"18,810"
Carnegie Mellon University,"Pittsburgh, PA",24,"$52,040 ",,"6,454"
University of California--Los Angeles,"Los Angeles, CA",24,"$39,518 ","$12,836 ","29,585"
University of Virginia,"Charlottesville, VA",24,"$45,066 ","$15,722 ","16,736"
Tufts University,"Medford, MA",27,"$52,430 ",,"5,290"
University of Michigan--Ann Arbor,"Ann Arbor, MI",27,"$43,476 ","$13,856 ","28,312"
Wake Forest University,"Winston-Salem, NC",27,"$49,308 ",,"4,871"
University of North Carolina--Chapel Hill,"Chapel Hill, NC",30,"$33,916 ","$8,834 ","18,415"
Boston College,"Chestnut Hill, MA",31,"$51,296 ",,"9,192"
College of William & Mary,"Williamsburg, VA",32,"$41,718 ","$18,687 ","6,301"
University of Rochester,"Rochester, NY",32,"$50,142 ",,"6,304"
